timestep,Hydro 01_inflow,Hydro 02_inflow,Hydro 03_inflow,Hydro 04_inflow,Hydro 05_inflow,Hydro 06_inflow,Hydro 07_inflow,Hydro 08_inflow,Hydro 09_inflow,Hydro 10_inflow,Hydro 11_inflow,Hydro 12_inflow,Hydro 13_inflow,Hydro 14_inflow,Hydro 15_inflow,Hydro 16,Hydro 17,Hydro 18,Hydro 19,Hydro 20,Hydro 21,Hydro 22,Hydro 23,Hydro 24,Hydro 25,Hydro 26,Hydro 27,Hydro 28,Hydro 29,Hydro 30,Hydro 31,Hydro 32,Hydro 33,Hydro 34,Hydro 35,Hydro 36,Hydro 37,Hydro 38,Hydro 39,Hydro 40,Hydro 41,Hydro 42,Hydro 43,Solar 01,Solar 02,Solar 03,Solar 04,Solar 05,Solar 06,Solar 07,Solar 08,Solar 09,Solar 10,Solar 11,Solar 12,Solar 13,Solar 14,Solar 15,Solar 16,Solar 17,Solar 18,Solar 19,Solar 20,Solar 21,Solar 22,Solar 23,Solar 24,Solar 25,Solar 26,Solar 27,Solar 28,Solar 29,Solar 30,Solar 31,Solar 32,Solar 33,Solar 34,Solar 35,Solar 36,Solar 37,Solar 38,Solar 39,Solar 40,Solar 41,Solar 42,Solar 43,Solar 44,Solar 45,Solar 46,Solar 47,Solar 48,Solar 49,Solar 50,Solar 51,Solar 52,Solar 53,Solar 54,Solar 55,Solar 56,Solar 57,Solar 58,Solar 59,Solar 60,Solar 61,Solar 62,Solar 63,Solar 64,Solar 65,Solar 66,Solar 67,Solar 68,Solar 69,Solar 70,Solar 71,Solar 72,Solar 73,Solar 74,Solar 75,Wind 01,Wind 02,Wind 03,Wind 04,Wind 05,Wind 06,Wind 07,Wind 08,Wind 09,Wind 10,Wind 11,Wind 12,Wind 13,Wind 14,Wind 15,Wind 16,Wind 17,bus070_Demand,bus031_Demand,bus048_Demand,bus055_Demand,bus004_Demand,bus104_Demand,bus043_Demand,bus074_Demand,bus017_Demand,bus076_Demand,bus040_Demand,bus064_Demand,bus114_Demand,bus032_Demand,bus054_Demand,bus021_Demand,bus116_Demand,bus091_Demand,bus096_Demand,bus037_Demand,bus016_Demand,bus112_Demand,bus012_Demand,bus022_Demand,bus045_Demand,bus067_Demand,bus009_Demand,bus058_Demand,bus003_Demand,bus051_Demand,bus056_Demand,bus099_Demand,bus100_Demand,bus105_Demand,bus109_Demand,bus110_Demand,bus019_Demand,bus039_Demand,bus084_Demand,bus081_Demand,bus036_Demand,bus089_Demand,bus063_Demand,bus098_Demand,bus046_Demand,bus006_Demand,bus052_Demand,bus065_Demand,bus010_Demand,bus028_Demand,bus073_Demand,bus034_Demand,bus115_Demand,bus068_Demand,bus020_Demand,bus044_Demand,bus072_Demand,bus086_Demand,bus033_Demand,bus079_Demand,bus062_Demand,bus087_Demand,bus001_Demand,bus029_Demand,bus101_Demand,bus102_Demand,bus090_Demand,bus053_Demand,bus013_Demand,bus083_Demand,bus097_Demand,bus041_Demand,bus005_Demand,bus078_Demand,bus093_Demand,bus038_Demand,bus002_Demand,bus103_Demand,bus049_Demand,bus082_Demand,bus094_Demand,bus117_Demand,bus018_Demand,bus023_Demand,bus080_Demand,bus092_Demand,bus015_Demand,bus057_Demand,bus011_Demand,bus108_Demand,bus085_Demand,bus008_Demand,bus075_Demand,bus077_Demand,bus042_Demand,bus024_Demand,bus025_Demand,bus030_Demand,bus088_Demand,bus106_Demand,bus014_Demand,bus047_Demand,bus095_Demand,bus111_Demand,bus061_Demand,bus118_Demand,bus066_Demand,bus069_Demand,bus113_Demand,bus027_Demand,bus071_Demand,bus035_Demand,bus060_Demand,bus007_Demand,bus026_Demand,bus107_Demand,bus050_Demand,bus059_Demand
8402,0.633,0.633,0.587,0.587,0.202,0.285,0.285,0.285,0.285,0.285,0.365,0.365,0.742,0.501,0.501,0.245,0.245,0.245,0.005,0.001,0.001,0.001,0.0,0.0,0.033,0.033,0.033,0.0,0.0,0.245,0.245,0.245,0.0,0.0,0.245,0.038,0.038,0.0,0.0,0.0,0.041,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.005,0.022,0.531,0.031,0.004,0.003,0.034,0.032,0.032,0.003,0.02,0.008,0.107,0.74,0.172,0.91,0.332,0.574,0.332,0.332,0.574,0.397,0.332,0.332,0.574,0.332,0.574,0.332,0.397,0.574,0.332,0.574,0.397,0.397,0.397,0.574,0.574,0.397,0.574,0.574,0.332,0.332,0.574,0.332,0.574,0.332,0.332,0.397,0.397,0.397,0.397,0.397,0.574,0.574,0.332,0.332,0.574,0.332,0.332,0.397,0.332,0.574,0.332,0.332,0.574,0.574,0.332,0.574,0.397,0.332,0.574,0.332,0.332,0.332,0.574,0.332,0.332,0.332,0.574,0.574,0.397,0.397,0.332,0.332,0.574,0.332,0.397,0.574,0.574,0.332,0.397,0.574,0.574,0.397,0.332,0.332,0.397,0.397,0.574,0.574,0.332,0.397,0.574,0.332,0.574,0.397,0.332,0.574,0.332,0.332,0.574,0.574,0.574,0.574,0.332,0.397,0.574,0.332,0.397,0.397,0.332,0.397,0.332,0.332,0.397,0.574,0.332,0.574,0.332,0.574,0.574,0.397,0.332,0.332
8403,0.633,0.633,0.587,0.587,0.202,0.285,0.285,0.285,0.285,0.285,0.365,0.365,0.742,0.501,0.501,0.244,0.244,0.244,0.005,0.0,0.0,0.0,0.0,0.0,0.033,0.033,0.033,0.0,0.0,0.244,0.244,0.244,0.0,0.0,0.244,0.038,0.038,0.0,0.0,0.001,0.041,0.041,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.067,0.585,0.029,0.002,0.002,0.033,0.031,0.03,0.002,0.021,0.005,0.093,0.738,0.146,0.867,0.321,0.564,0.321,0.321,0.564,0.388,0.321,0.321,0.564,0.321,0.564,0.321,0.388,0.564,0.321,0.564,0.388,0.388,0.388,0.564,0.564,0.388,0.564,0.564,0.321,0.321,0.564,0.321,0.564,0.321,0.321,0.388,0.388,0.388,0.388,0.388,0.564,0.564,0.321,0.321,0.564,0.321,0.321,0.388,0.321,0.564,0.321,0.321,0.564,0.564,0.321,0.564,0.388,0.321,0.564,0.321,0.321,0.321,0.564,0.321,0.321,0.321,0.564,0.564,0.388,0.388,0.321,0.321,0.564,0.321,0.388,0.564,0.564,0.321,0.388,0.564,0.564,0.388,0.321,0.321,0.388,0.388,0.564,0.564,0.321,0.388,0.564,0.321,0.564,0.388,0.321,0.564,0.321,0.321,0.564,0.564,0.564,0.564,0.321,0.388,0.564,0.321,0.388,0.388,0.321,0.388,0.321,0.321,0.388,0.564,0.321,0.564,0.321,0.564,0.564,0.388,0.321,0.321
8404,0.633,0.633,0.587,0.587,0.202,0.285,0.285,0.285,0.285,0.285,0.365,0.365,0.742,0.501,0.501,0.242,0.242,0.242,0.005,0.0,0.0,0.0,0.0,0.0,0.033,0.033,0.033,0.0,0.0,0.242,0.242,0.242,0.0,0.0,0.242,0.038,0.038,0.0,0.0,0.001,0.04,0.04,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.118,0.615,0.025,0.001,0.001,0.027,0.025,0.025,0.001,0.021,0.004,0.086,0.735,0.126,0.82,0.317,0.563,0.317,0.317,0.563,0.39,0.317,0.317,0.563,0.317,0.563,0.317,0.39,0.563,0.317,0.563,0.39,0.39,0.39,0.563,0.563,0.39,0.563,0.563,0.317,0.317,0.563,0.317,0.563,0.317,0.317,0.39,0.39,0.39,0.39,0.39,0.563,0.563,0.317,0.317,0.563,0.317,0.317,0.39,0.317,0.563,0.317,0.317,0.563,0.563,0.317,0.563,0.39,0.317,0.563,0.317,0.317,0.317,0.563,0.317,0.317,0.317,0.563,0.563,0.39,0.39,0.317,0.317,0.563,0.317,0.39,0.563,0.563,0.317,0.39,0.563,0.563,0.39,0.317,0.317,0.39,0.39,0.563,0.563,0.317,0.39,0.563,0.317,0.563,0.39,0.317,0.563,0.317,0.317,0.563,0.563,0.563,0.563,0.317,0.39,0.563,0.317,0.39,0.39,0.317,0.39,0.317,0.317,0.39,0.563,0.317,0.563,0.317,0.563,0.563,0.39,0.317,0.317
8405,0.633,0.633,0.587,0.587,0.202,0.285,0.285,0.285,0.285,0.285,0.365,0.365,0.742,0.501,0.501,0.241,0.241,0.241,0.005,0.0,0.0,0.0,0.0,0.0,0.033,0.033,0.033,0.0,0.0,0.241,0.241,0.241,0.0,0.0,0.241,0.038,0.038,0.0,0.0,0.002,0.04,0.04,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.168,0.618,0.018,0.001,0.0,0.018,0.017,0.017,0.0,0.021,0.004,0.079,0.73,0.111,0.766,0.318,0.573,0.318,0.318,0.573,0.408,0.318,0.318,0.573,0.318,0.573,0.318,0.408,0.573,0.318,0.573,0.408,0.408,0.408,0.573,0.573,0.408,0.573,0.573,0.318,0.318,0.573,0.318,0.573,0.318,0.318,0.408,0.408,0.408,0.408,0.408,0.573,0.573,0.318,0.318,0.573,0.318,0.318,0.408,0.318,0.573,0.318,0.318,0.573,0.573,0.318,0.573,0.408,0.318,0.573,0.318,0.318,0.318,0.573,0.318,0.318,0.318,0.573,0.573,0.408,0.408,0.318,0.318,0.573,0.318,0.408,0.573,0.573,0.318,0.408,0.573,0.573,0.408,0.318,0.318,0.408,0.408,0.573,0.573,0.318,0.408,0.573,0.318,0.573,0.408,0.318,0.573,0.318,0.318,0.573,0.573,0.573,0.573,0.318,0.408,0.573,0.318,0.408,0.408,0.318,0.408,0.318,0.318,0.408,0.573,0.318,0.573,0.318,0.573,0.573,0.408,0.318,0.318
8406,0.633,0.633,0.587,0.587,0.202,0.285,0.285,0.285,0.285,0.285,0.365,0.365,0.742,0.501,0.501,0.243,0.243,0.243,0.005,0.0,0.0,0.0,0.0,0.0,0.033,0.033,0.033,0.0,0.0,0.243,0.243,0.243,0.0,0.0,0.243,0.038,0.038,0.0,0.0,0.003,0.04,0.04,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.206,0.614,0.012,0.001,0.0,0.012,0.011,0.011,0.0,0.022,0.003,0.072,0.721,0.097,0.698,0.328,0.602,0.328,0.328,0.602,0.42,0.328,0.328,0.602,0.328,0.602,0.328,0.42,0.602,0.328,0.602,0.42,0.42,0.42,0.602,0.602,0.42,0.602,0.602,0.328,0.328,0.602,0.328,0.602,0.328,0.328,0.42,0.42,0.42,0.42,0.42,0.602,0.602,0.328,0.328,0.602,0.328,0.328,0.42,0.328,0.602,0.328,0.328,0.602,0.602,0.328,0.602,0.42,0.328,0.602,0.328,0.328,0.328,0.602,0.328,0.328,0.328,0.602,0.602,0.42,0.42,0.328,0.328,0.602,0.328,0.42,0.602,0.602,0.328,0.42,0.602,0.602,0.42,0.328,0.328,0.42,0.42,0.602,0.602,0.328,0.42,0.602,0.328,0.602,0.42,0.328,0.602,0.328,0.328,0.602,0.602,0.602,0.602,0.328,0.42,0.602,0.328,0.42,0.42,0.328,0.42,0.328,0.328,0.42,0.602,0.328,0.602,0.328,0.602,0.602,0.42,0.328,0.328
8407,0.633,0.633,0.587,0.587,0.202,0.285,0.285,0.285,0.285,0.285,0.365,0.365,0.742,0.501,0.501,0.24,0.24,0.24,0.005,0.0,0.0,0.0,0.0,0.0,0.033,0.033,0.033,0.0,0.0,0.24,0.24,0.24,0.0,0.0,0.24,0.038,0.038,0.0,0.0,0.019,0.039,0.039,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.233,0.606,0.007,0.001,0.0,0.007,0.006,0.007,0.0,0.022,0.003,0.063,0.71,0.082,0.621,0.347,0.626,0.347,0.347,0.626,0.44,0.347,0.347,0.626,0.347,0.626,0.347,0.44,0.626,0.347,0.626,0.44,0.44,0.44,0.626,0.626,0.44,0.626,0.626,0.347,0.347,0.626,0.347,0.626,0.347,0.347,0.44,0.44,0.44,0.44,0.44,0.626,0.626,0.347,0.347,0.626,0.347,0.347,0.44,0.347,0.626,0.347,0.347,0.626,0.626,0.347,0.626,0.44,0.347,0.626,0.347,0.347,0.347,0.626,0.347,0.347,0.347,0.626,0.626,0.44,0.44,0.347,0.347,0.626,0.347,0.44,0.626,0.626,0.347,0.44,0.626,0.626,0.44,0.347,0.347,0.44,0.44,0.626,0.626,0.347,0.44,0.626,0.347,0.626,0.44,0.347,0.626,0.347,0.347,0.626,0.626,0.626,0.626,0.347,0.44,0.626,0.347,0.44,0.44,0.347,0.44,0.347,0.347,0.44,0.626,0.347,0.626,0.347,0.626,0.626,0.44,0.347,0.347
8408,0.633,0.633,0.587,0.587,0.202,0.285,0.285,0.285,0.285,0.285,0.365,0.365,0.742,0.501,0.501,0.24,0.24,0.24,0.005,0.001,0.001,0.001,0.0,0.0,0.033,0.033,0.033,0.0,0.0,0.24,0.24,0.24,0.0,0.0,0.24,0.038,0.038,0.0,0.0,0.041,0.038,0.038,0.074,0.047,0.0,0.031,0.063,0.062,0.054,0.064,0.063,0.063,0.036,0.063,0.063,0.064,0.063,0.063,0.032,0.063,0.063,0.063,0.036,0.063,0.052,0.064,0.063,0.063,0.063,0.04,0.052,0.052,0.045,0.131,0.072,0.03,0.357,0.187,0.164,0.239,0.588,0.125,0.125,0.125,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.181,0.123,0.126,0.123,0.126,0.123,0.448,0.448,0.123,0.123,0.0,0.126,0.121,0.091,0.033,0.045,0.028,0.0,0.033,0.255,0.0,0.484,0.0,0.559,0.424,0.443,0.323,0.0,0.0,0.269,0.602,0.003,0.001,0.0,0.003,0.003,0.003,0.0,0.023,0.003,0.048,0.693,0.063,0.547,0.362,0.644,0.362,0.362,0.644,0.476,0.362,0.362,0.644,0.362,0.644,0.362,0.476,0.644,0.362,0.644,0.476,0.476,0.476,0.644,0.644,0.476,0.644,0.644,0.362,0.362,0.644,0.362,0.644,0.362,0.362,0.476,0.476,0.476,0.476,0.476,0.644,0.644,0.362,0.362,0.644,0.362,0.362,0.476,0.362,0.644,0.362,0.362,0.644,0.644,0.362,0.644,0.476,0.362,0.644,0.362,0.362,0.362,0.644,0.362,0.362,0.362,0.644,0.644,0.476,0.476,0.362,0.362,0.644,0.362,0.476,0.644,0.644,0.362,0.476,0.644,0.644,0.476,0.362,0.362,0.476,0.476,0.644,0.644,0.362,0.476,0.644,0.362,0.644,0.476,0.362,0.644,0.362,0.362,0.644,0.644,0.644,0.644,0.362,0.476,0.644,0.362,0.476,0.476,0.362,0.476,0.362,0.362,0.476,0.644,0.362,0.644,0.362,0.644,0.644,0.476,0.362,0.362
8409,0.633,0.633,0.587,0.587,0.202,0.285,0.285,0.285,0.285,0.285,0.365,0.365,0.742,0.501,0.501,0.24,0.24,0.24,0.005,0.023,0.023,0.023,0.002,0.002,0.033,0.033,0.033,0.0,0.0,0.24,0.24,0.24,0.0,0.0,0.24,0.038,0.038,0.0,0.0,0.033,0.039,0.039,0.06,0.214,0.152,0.224,0.185,0.181,0.228,0.187,0.185,0.185,0.322,0.185,0.184,0.188,0.185,0.185,0.264,0.185,0.185,0.185,0.322,0.185,0.3,0.187,0.184,0.185,0.184,0.207,0.3,0.3,0.374,0.011,0.44,0.274,0.624,0.374,0.445,0.069,0.628,0.325,0.325,0.325,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.052,0.32,0.357,0.32,0.357,0.32,0.478,0.478,0.32,0.32,0.0,0.357,0.125,0.192,0.354,0.474,0.293,0.151,0.354,0.535,0.891,0.633,0.192,0.763,0.465,0.701,0.457,0.0,0.0,0.315,0.603,0.001,0.001,0.0,0.001,0.001,0.0,0.0,0.024,0.003,0.036,0.665,0.046,0.479,0.387,0.678,0.387,0.387,0.678,0.506,0.387,0.387,0.678,0.387,0.678,0.387,0.506,0.678,0.387,0.678,0.506,0.506,0.506,0.678,0.678,0.506,0.678,0.678,0.387,0.387,0.678,0.387,0.678,0.387,0.387,0.506,0.506,0.506,0.506,0.506,0.678,0.678,0.387,0.387,0.678,0.387,0.387,0.506,0.387,0.678,0.387,0.387,0.678,0.678,0.387,0.678,0.506,0.387,0.678,0.387,0.387,0.387,0.678,0.387,0.387,0.387,0.678,0.678,0.506,0.506,0.387,0.387,0.678,0.387,0.506,0.678,0.678,0.387,0.506,0.678,0.678,0.506,0.387,0.387,0.506,0.506,0.678,0.678,0.387,0.506,0.678,0.387,0.678,0.506,0.387,0.678,0.387,0.387,0.678,0.678,0.678,0.678,0.387,0.506,0.678,0.387,0.506,0.506,0.387,0.506,0.387,0.387,0.506,0.678,0.387,0.678,0.387,0.678,0.678,0.506,0.387,0.387
8410,0.633,0.633,0.587,0.587,0.202,0.285,0.285,0.285,0.285,0.285,0.365,0.365,0.742,0.501,0.501,0.239,0.239,0.239,0.005,0.024,0.024,0.024,0.048,0.048,0.033,0.033,0.033,0.0,0.0,0.239,0.239,0.239,0.0,0.0,0.239,0.038,0.038,0.0,0.0,0.033,0.038,0.038,0.061,0.425,0.474,0.434,0.385,0.377,0.445,0.39,0.385,0.385,0.442,0.386,0.384,0.392,0.385,0.385,0.491,0.385,0.385,0.385,0.442,0.385,0.523,0.39,0.384,0.385,0.384,0.451,0.523,0.523,0.694,0.084,0.808,0.815,0.879,0.458,0.656,0.976,0.986,0.527,0.527,0.527,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.741,0.518,0.65,0.518,0.65,0.518,0.751,0.751,0.518,0.518,0.0,0.65,0.122,0.38,0.214,0.287,0.177,0.173,0.214,0.716,0.793,0.58,0.622,0.998,0.676,0.904,0.777,0.0,0.0,0.357,0.608,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.024,0.003,0.03,0.64,0.039,0.436,0.415,0.697,0.415,0.415,0.697,0.519,0.415,0.415,0.697,0.415,0.697,0.415,0.519,0.697,0.415,0.697,0.519,0.519,0.519,0.697,0.697,0.519,0.697,0.697,0.415,0.415,0.697,0.415,0.697,0.415,0.415,0.519,0.519,0.519,0.519,0.519,0.697,0.697,0.415,0.415,0.697,0.415,0.415,0.519,0.415,0.697,0.415,0.415,0.697,0.697,0.415,0.697,0.519,0.415,0.697,0.415,0.415,0.415,0.697,0.415,0.415,0.415,0.697,0.697,0.519,0.519,0.415,0.415,0.697,0.415,0.519,0.697,0.697,0.415,0.519,0.697,0.697,0.519,0.415,0.415,0.519,0.519,0.697,0.697,0.415,0.519,0.697,0.415,0.697,0.519,0.415,0.697,0.415,0.415,0.697,0.697,0.697,0.697,0.415,0.519,0.697,0.415,0.519,0.519,0.415,0.519,0.415,0.415,0.519,0.697,0.415,0.697,0.415,0.697,0.697,0.519,0.415,0.415
8411,0.633,0.633,0.587,0.587,0.202,0.285,0.285,0.285,0.285,0.285,0.365,0.365,0.742,0.501,0.501,0.24,0.24,0.24,0.005,0.024,0.024,0.024,0.05,0.05,0.033,0.033,0.033,0.0,0.0,0.24,0.24,0.24,0.001,0.001,0.24,0.038,0.038,0.0,0.0,0.038,0.038,0.038,0.069,0.568,0.475,0.575,0.556,0.545,0.594,0.564,0.556,0.556,0.53,0.557,0.554,0.565,0.556,0.556,0.578,0.556,0.556,0.556,0.53,0.556,0.659,0.563,0.554,0.555,0.554,0.616,0.66,0.66,0.818,0.089,0.873,0.902,0.684,0.704,0.713,0.637,0.915,0.695,0.695,0.695,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.483,0.683,0.739,0.683,0.739,0.683,0.697,0.697,0.684,0.683,0.063,0.739,0.358,0.483,0.546,0.731,0.451,0.507,0.546,0.758,0.947,0.346,0.569,0.971,0.854,0.879,0.924,0.0,0.0,0.392,0.614,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.022,0.003,0.028,0.624,0.034,0.414,0.429,0.706,0.429,0.429,0.706,0.521,0.429,0.429,0.706,0.429,0.706,0.429,0.521,0.706,0.429,0.706,0.521,0.521,0.521,0.706,0.706,0.521,0.706,0.706,0.429,0.429,0.706,0.429,0.706,0.429,0.429,0.521,0.521,0.521,0.521,0.521,0.706,0.706,0.429,0.429,0.706,0.429,0.429,0.521,0.429,0.706,0.429,0.429,0.706,0.706,0.429,0.706,0.521,0.429,0.706,0.429,0.429,0.429,0.706,0.429,0.429,0.429,0.706,0.706,0.521,0.521,0.429,0.429,0.706,0.429,0.521,0.706,0.706,0.429,0.521,0.706,0.706,0.521,0.429,0.429,0.521,0.521,0.706,0.706,0.429,0.521,0.706,0.429,0.706,0.521,0.429,0.706,0.429,0.429,0.706,0.706,0.706,0.706,0.429,0.521,0.706,0.429,0.521,0.521,0.429,0.521,0.429,0.429,0.521,0.706,0.429,0.706,0.429,0.706,0.706,0.521,0.429,0.429
8412,0.633,0.633,0.587,0.587,0.202,0.285,0.285,0.285,0.285,0.285,0.365,0.365,0.742,0.501,0.501,0.238,0.238,0.238,0.005,0.024,0.024,0.024,0.05,0.05,0.032,0.032,0.032,0.0,0.0,0.238,0.238,0.238,0.027,0.027,0.238,0.038,0.038,0.0,0.0,0.037,0.038,0.038,0.068,0.656,0.439,0.651,0.638,0.624,0.665,0.646,0.637,0.637,0.607,0.638,0.635,0.648,0.637,0.637,0.632,0.638,0.637,0.637,0.607,0.637,0.707,0.645,0.635,0.637,0.636,0.718,0.708,0.707,0.893,0.577,0.579,0.762,0.609,0.695,0.876,0.978,0.948,0.898,0.898,0.898,0.757,0.757,0.757,0.757,0.757,0.757,0.757,0.742,0.884,0.436,0.883,0.436,0.883,0.722,0.722,0.884,0.884,0.21,0.436,0.172,0.63,0.479,0.641,0.396,0.562,0.479,0.904,1.0,0.55,0.677,0.692,1.0,0.961,0.965,0.001,0.0,0.426,0.615,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.02,0.004,0.026,0.592,0.03,0.392,0.429,0.711,0.429,0.429,0.711,0.518,0.429,0.429,0.711,0.429,0.711,0.429,0.518,0.711,0.429,0.711,0.518,0.518,0.518,0.711,0.711,0.518,0.711,0.711,0.429,0.429,0.711,0.429,0.711,0.429,0.429,0.518,0.518,0.518,0.518,0.518,0.711,0.711,0.429,0.429,0.711,0.429,0.429,0.518,0.429,0.711,0.429,0.429,0.711,0.711,0.429,0.711,0.518,0.429,0.711,0.429,0.429,0.429,0.711,0.429,0.429,0.429,0.711,0.711,0.518,0.518,0.429,0.429,0.711,0.429,0.518,0.711,0.711,0.429,0.518,0.711,0.711,0.518,0.429,0.429,0.518,0.518,0.711,0.711,0.429,0.518,0.711,0.429,0.711,0.518,0.429,0.711,0.429,0.429,0.711,0.711,0.711,0.711,0.429,0.518,0.711,0.429,0.518,0.518,0.429,0.518,0.429,0.429,0.518,0.711,0.429,0.711,0.429,0.711,0.711,0.518,0.429,0.429
